latitude,longitude,name,source,precision,,
41.8691788,-87.712471,"3449 W. Arthington, Chicago, Illinois 60624",Bing Maps,address,,
41.8649261,-87.6566834,"1312 South Racine Ave., Chicago, Illinois 60608",Bing Maps,address,,
41.7570229,-87.5647736,"7601 S. Phillips Avenue, Chicago, Illinois 60649",Bing Maps,address,,
41.9310646,-87.7623215,"5423 W. Diversey Ave., Chicago, Illinois 60639",Bing Maps,address,,
41.8095779,-87.9747314,"11 East Ogden Avenue, Westmont, Illinois 60559",Bing Maps,address,,
42.1373978,-87.7630386,"840 Vernon Ave, Glencoe, Illinois 60022",Bing Maps,address,,
39.7290838,-89.619243,"1 University Plaza, Springfield, Illinois 62703",Bing Maps,address,,
41.7355843,-87.8197784,"8600 S. Roberts Road, Justice, Illinois 60458",Bing Maps,address,,
42.0276497,-87.9065218,"1375 S. 5th Avenue, Des Plaines, Illinois 60018",Bing Maps,address,,
42.2472649,-88.1244202,"25225 West Ivanhoe Road, Wauconda, Illinois 60084",Bing Maps,address,,
41.7865601,-87.7000961,"3038 West 59th Street, Chicago, Illinois 60629",Bing Maps,address,,
42.202076,-88.0252304,"23280 N. Old McHenry Road, Lake Zurich, Illinois 60089",Bing Maps,address,,
42.0531082,-88.1208878,"1685 West Higgins Road, Hoffman Estates, Illinois 60169",Bing Maps,address,,
41.9980683,-87.674044,"1754 West Devon Avenue, Chicago, Illinois 60660",Bing Maps,address,,
41.738029,-87.623558,"8601 South State Street, Chicago, Illinois 60619",Bing Maps,address,,
42.2108078,-87.9170609,"23970 North Elm Road, Lincolnshire, Illinois 60069",Bing Maps,address,,
41.8001137,-87.9543228,"39 N. Prospect Avenue, Clarendon Hills, Illinois 60514",Bing Maps,address,,
41.7613024,-87.576244,"7350 South Jeffery Boulevard, Chicago, Illinois 60649",Bing Maps,address,,
41.9278336,-87.8166656,"36 W. Conti Parkway, Elmwood Park, Illinois 60707",Bing Maps,address,,
42.0881054,-87.9595068,"1903 East Euclid Avenue, Arlington Heights, Illinois 60004",Bing Maps,address,,
40.5319132,-89.0075109,"1500 West Raab Road, Normal, Illinois 61761",Bing Maps,address,,
42.0922152,-87.8341236,"2101 1st Street, Glenview, Illinois 60026",Bing Maps,address,,
40.4924164,-88.9671631,"1617 E. Emerson Street, Bloomington, Illinois 61701",Bing Maps,address,,
37.4166877,-88.8849125,"513 East Vine Street, Vienna, Illinois 62995",Bing Maps,address,,
